top - 20:08:01 up 36 min,  1 user,  load average: 0.40, 0.11, 0.04
Tasks: 277 total,   1 running, 276 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,100.0 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   1932.4 total,    114.7 free,   1382.7 used,    613.8 buff/cache     
MiB Swap:    975.0 total,    913.0 free,     62.0 used.    549.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   3188 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3227 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker+
   3232 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3236 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
   3237 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
   3239 root      20   0       0      0      0 S   0.0   0.0   0:00.12 usb-sto+
   3241 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 uas
   3271 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3278 root      20   0    6676   2328   1580 S   0.0   0.1   0:00.15 mount.n+
   3302 kali      20   0 1612332 250944 118116 S   0.0  12.7   0:03.80 nautilus
   3305 kali      20   0  385680  10632   7520 S   0.0   0.5   0:00.01 gvfsd-t+
   3329 kali      20   0  311792  10260   7300 S   0.0   0.5   0:00.00 gvfsd-r+
   3349 kali      20   0  851480  75552  59276 S   0.0   3.8   0:00.34 gnome-t+
   3391 kali      20   0    8140   5060   3584 S   0.0   0.3   0:00.01 bash
   3398 root      20   0    9056   4380   3932 S   0.0   0.2   0:00.02 su
   3399 root      20   0    7200   3976   3416 S   0.0   0.2   0:00.00 bash
   3403 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3404 root      20   0    2580    944    848 S   0.0   0.0   0:00.00 auto_co+
   3406 root      20   0    6936   3432   3136 S   0.0   0.2   0:00.00 bash
